img,title,url,best_price,product_id
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Acer Aspire 3 A315-58-39RG (NX.ADDSI.00A) Laptop
                ",https://www.mysmartprice.com/computer/acer-aspire-3-a315-58-39rg-nx.addsi.00a-laptop-msf594541,"32,800",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    ASUS VivoBook 15 X515JA-BQ511WS Laptop
                ",https://www.mysmartprice.com/computer/asus-asus-vivobook-15-x515ja-bq511ws-laptop-msf595487,"43,500",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Lenovo Legion 5 Pro Gen 7 (82RG00EKIN) Laptop
                ",https://www.mysmartprice.com/computer/lenovo-legion-5-pro-gen-7-82rg00ekin-laptop-msf598258,"187,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    ASUS VivoBook 15 X510UA-EJ1070T Laptop
                ",https://www.mysmartprice.com/computer/asus-asus-vivobook-15-x510ua-ej1070t-laptop-msf576771,"30,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    ASUS VivoBook Pro 14X OLED M7400QE-KM046TS Laptop
                ",https://www.mysmartprice.com/computer/asus-asus-vivobook-pro-14x-oled-m7400qe-km046ts-laptop-msf594660,"94,890",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    HP Pavilion x360 14-dy1047TU (661W9PA) Laptop
                ",https://www.mysmartprice.com/computer/hp-pavilion-x360-14-dy1047tu-661w9pa-laptop-msf595490,"77,499",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Microsoft Surface Pro X Ultrabook
                ",https://www.mysmartprice.com/computer/microsoft-surface-pro-x-laptop-msf580630,"69,000",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Fujitsu UH-X 4ZR1F38026 Laptop
                ",https://www.mysmartprice.com/computer/fujitsu-uh-x-4zr1f38026-laptop-msf595562,"83,590",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    HP Pavilion Gaming 15-dk2075tx (4A3K5PA) Laptop
                ",https://www.mysmartprice.com/computer/hp-pavilion-gaming-15-dk2075tx-4a3k5pa-laptop-msf587691,"73,999",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    ASUS Vivobook K15 OLED K513EA-L513WS Laptop
                ",https://www.mysmartprice.com/computer/asus-asus-vivobook-k15-oled-k513ea-l513ws-laptop-msf598190,"62,838",
